Rank,Title,Weeks in Top 10,Views,Runtime,Hours Viewed,Region,Week
8,Morbius,3,"4,900,000",1:44,"8,500,000",Global,2025-03-23
9,Infinite Storm,1,"4,800,000",1:38,"7,900,000",Global,2025-03-23
10,Trap,2,"4,500,000",1:45,"7,800,000",Global,2025-03-23
1,The Electric State,4,"25,200,000",2:08,"53,800,000",Global,2025-03-16
2,Plankton: The Movie,4,"13,400,000",1:28,"19,600,000",Global,2025-03-16
3,Kraven the Hunter,4,"7,100,000",2:07,"15,000,000",Global,2025-03-16
4,Trap,2,"6,700,000",1:45,"11,800,000",Global,2025-03-16
5,Despicable Me 4,9,"6,100,000",1:34,"9,500,000",Global,2025-03-16
6,IF,1,"5,700,000",1:44,"9,800,000",Global,2025-03-16
7,Bee Movie,3,"4,300,000",1:32,"6,600,000",Global,2025-03-16
8,Chaos: The Manson Murders,2,"3,300,000",1:37,"5,400,000",Global,2025-03-16
9,The Boss Baby,21,"3,300,000",1:38,"5,400,000",Global,2025-03-16
10,The Croods,11,"3,300,000",1:38,"5,400,000",Global,2025-03-16
1,Plankton: The Movie,4,"14,300,000",1:28,"21,000,000",Global,2025-03-09
2,Despicable Me 4,9,"10,100,000",1:34,"15,900,000",Global,2025-03-09
3,Chaos: The Manson Murders,2,"5,000,000",1:37,"8,100,000",Global,2025-03-09
4,Venom: The Last Dance,2,"5,000,000",1:49,"9,000,000",Global,2025-03-09
5,Sicario,1,"4,600,000",2:01,"9,200,000",Global,2025-03-09
6,Runaway Jury,1,"4,500,000",2:08,"9,700,000",Global,2025-03-09
7,Midnight in the Switchgrass,1,"4,500,000",1:39,"7,500,000",Global,2025-03-09
8,Despicable Me 3,9,"4,300,000",1:30,"6,400,000",Global,2025-03-09
9,Minions,14,"4,100,000",1:31,"6,200,000",Global,2025-03-09
10,The Boss Baby,21,"4,000,000",1:38,"6,600,000",Global,2025-03-09
1,Venom: The Last Dance,2,"12,800,000",1:49,"23,300,000",Global,2025-03-02
2,Despicable Me 4,9,"8,800,000",1:34,"13,800,000",Global,2025-03-02
3,Despicable Me 3,9,"6,900,000",1:30,"10,300,000",Global,2025-03-02
4,Minions,14,"5,900,000",1:31,"9,000,000",Global,2025-03-02
5,Uncharted,5,"5,200,000",1:56,"10,100,000",Global,2025-03-02
6,The Super Mario Bros. Movie,22,"4,600,000",1:32,"7,100,000",Global,2025-03-02
7,La Dolce Villa,3,"4,500,000",1:39,"7,400,000",Global,2025-03-02
8,Despicable Me 2,18,"4,500,000",1:38,"7,300,000",Global,2025-03-02
9,To Catch a Killer,2,"4,000,000",1:59,"8,000,000",Global,2025-03-02
10,Dungeons & Dragons: Honor Among Thieves,3,"3,800,000",2:14,"8,400,000",Global,2025-03-02
1,La Dolce Villa,3,"14,100,000",1:39,"23,300,000",Global,2025-02-23
2,Uncharted,5,"10,500,000",1:56,"20,300,000",Global,2025-02-23
3,Despicable Me 3,9,"7,900,000",1:30,"11,900,000",Global,2025-02-23
